Date,Open,High,Low,Close,Adj Close,Volume
1/7/15,989,1005,986,997.400024,951.977661,3440426
2/7/15,999,1001.400024,985.049988,988,943.005676,2003784
3/7/15,988,993,982,990.299988,945.200989,1347653
6/7/15,985,988,975,983.299988,938.519775,2152801
7/7/15,985,990,979,980.5,935.84729,1748709
8/7/15,979,979,954.799988,957.5,913.894775,3512089
9/7/15,957.5,966,934.049988,938,895.282715,4293886
10/7/15,948.099976,952.099976,932.650024,937.5,894.805542,3705761
13/7/15,941,955,934.049988,950.150024,906.879456,3265884
14/7/15,955,973.5,945.5,971.25,927.018494,2683537
15/7/15,970,985.950012,968,984,939.187866,2064783
16/7/15,987.700012,991.5,979.5,989.049988,944.007813,1736469
17/7/15,991,1004.5,989.099976,1001.849976,956.224915,1723989
20/7/15,1001.400024,1010.799988,987.400024,1001.25,955.652344,2188590
21/7/15,1035,1149,1035,1112.650024,1061.979126,19155056
22/7/15,1105,1112,1076.650024,1103.150024,1052.911743,6332830
23/7/15,1103.949951,1117,1090,1098,1047.996216,3855374
24/7/15,1095.550049,1106.449951,1083.099976,1087.599976,1038.069824,2240151
27/7/15,1086.900024,1087.949951,1060.449951,1065.300049,1016.785461,3376122
28/7/15,1068.5,1076,1054.25,1062.849976,1014.447021,4238301
29/7/15,1074,1092,1065,1085.400024,1035.969971,3535667
30/7/15,1090,1090,1058,1070,1021.271362,5978299
31/7/15,1078.550049,1081.349976,1060,1077.050049,1028.000366,3965506
3/8/15,1078,1092,1068.949951,1078.949951,1029.813721,3980506
4/8/15,1078,1078.949951,1051,1057.25,1009.102051,4549527
5/8/15,1062,1090,1061.949951,1086.349976,1036.876709,2376738
6/8/15,1094,1105.5,1077,1086.949951,1037.449463,3619126
7/8/15,1079.5,1101,1078.5,1095.599976,1045.705566,2494029
10/8/15,1098,1106.349976,1067,1086,1036.542725,1996377
11/8/15,1098.800049,1116.900024,1095.699951,1109.150024,1058.638428,3787203
12/8/15,1115,1149,1111,1144.400024,1092.283203,5084220
13/8/15,1147,1166.849976,1055.550049,1158,1105.263794,4893980
14/8/15,1165,1168.699951,1143.099976,1149.25,1096.912354,2554533
17/8/15,1150,1153.449951,1122.5,1142.150024,1090.13562,1553718
18/8/15,1150,1177.699951,1150,1164.349976,1111.324585,2075223
19/8/15,1170,1186.199951,1162.800049,1175.550049,1122.014404,3434759
20/8/15,1159,1168.5,1128,1134.550049,1082.881714,4184557
21/8/15,1140.900024,1160.949951,1117.5,1149.900024,1097.532593,5411071
24/8/15,1109.949951,1123,1078.599976,1092.050049,1042.317261,7061342
25/8/15,1100,1119,1044.5,1085.650024,1036.20874,6867539
26/8/15,1089.800049,1097,1059,1064.599976,1016.117188,5749106
27/8/15,1088,1100.099976,1078.050049,1082.800049,1033.488403,7671696
28/8/15,1101.599976,1124.900024,1101.599976,1111.050049,1060.451904,3604410
31/8/15,1134.849976,1134.849976,1082.5,1094.400024,1044.560181,4958532
1/9/15,1090,1114.599976,1082,1089,1039.40625,4535775
2/9/15,1098,1115,1090,1099.449951,1049.380127,5585915
3/9/15,1110.150024,1112,1092.5,1099.349976,1049.284668,4295268
4/9/15,1103,1111,1067,1073.949951,1025.041504,3659444
7/9/15,1084.949951,1085,1055,1058.75,1010.533752,2590494
8/9/15,1062,1074,1052.300049,1058.800049,1010.581482,2729748
9/9/15,1087.099976,1099.599976,1072,1088.699951,1039.119751,4574332
10/9/15,1084.900024,1091.5,1061,1080.449951,1031.245483,4181502
11/9/15,1091.550049,1106.400024,1085.5,1090.75,1041.076416,4941905
14/9/15,1099,1104,1082.650024,1099.75,1049.666504,3278538
15/9/15,1099.400024,1103.199951,1088.150024,1099.199951,1049.141479,2645943
16/9/15,1108,1109.75,1098.300049,1101.650024,1051.47998,3739120
18/9/15,1101.650024,1117.900024,1099.050049,1104.449951,1054.152344,5788438
21/9/15,1100,1108.849976,1092.5,1104.650024,1054.343262,2175617
22/9/15,1115,1135.949951,1101.099976,1107.449951,1057.015869,4813493
23/9/15,1107.449951,1126.349976,1097.449951,1116.25,1065.415039,2379127
24/9/15,1113.5,1152.699951,1110,1140.550049,1088.608398,6699631
28/9/15,1140.550049,1142.849976,1101,1105.550049,1055.202271,4894232
