Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Adj Close
2010-02-11,RELIANCE,EQ,985.1,989.25,1019.8,988.5,1018.8,1015.15,1003.95,5360299,5.3814683111e+14,,2570682.0,0.4796,435.060059
2010-02-15,RELIANCE,EQ,1015.15,1027.0,1027.0,1007.6,1009.0,1010.0,1016.13,3085557,3.135328369e+14,,1519059.0,0.4923,432.852936
2010-02-16,RELIANCE,EQ,1010.0,1010.1,1021.0,1005.0,1020.0,1017.75,1013.91,2301434,2.33345068615e+14,,1029860.0,0.4475,436.174347
2010-02-17,RELIANCE,EQ,1017.75,1025.0,1037.8,1022.05,1031.0,1032.55,1029.06,3572783,3.6765920931e+14,,2105966.0,0.5894,442.517181
2010-02-18,RELIANCE,EQ,1032.55,1030.0,1038.35,995.0,998.0,997.8,1004.53,4533745,4.5542882382e+14,,2357685.0,0.52,427.624451
2010-02-19,RELIANCE,EQ,997.8,995.0,995.0,977.15,984.0,983.2,984.36,4058388,3.99489520185e+14,,1862270.0,0.4589,421.367371
2010-02-22,RELIANCE,EQ,983.2,995.3,1000.0,970.0,971.0,977.95,985.82,2901188,2.86004806705e+14,,1539374.0,0.5306,419.117371
2010-02-23,RELIANCE,EQ,977.95,974.0,983.0,970.0,976.95,975.35,976.1,2966309,2.8954058501e+14,,1393982.0,0.4699,418.003082
2010-02-24,RELIANCE,EQ,975.35,970.0,985.7,966.65,978.3,978.8,980.37,2854453,2.79841731955e+14,,1442972.0,0.5055,419.481659
2010-02-25,RELIANCE,EQ,978.8,980.1,985.0,959.15,968.2,963.1,968.68,4332580,4.1968887282e+14,,2486288.0,0.5739,412.753143
2010-02-26,RELIANCE,EQ,963.1,969.0,995.0,966.25,979.3,978.95,983.6,5161233,5.07659448645e+14,,2079040.0,0.4028,419.545929
2010-03-02,RELIANCE,EQ,978.95,985.0,999.0,979.4,986.6,983.2,986.75,4162636,4.10749316895e+14,,2367365.0,0.5687,421.367371
2010-03-03,RELIANCE,EQ,983.2,988.0,1028.0,988.0,1024.0,1024.8,1013.96,6085791,6.1707365913e+14,,3059326.0,0.5027,439.19577
2010-03-04,RELIANCE,EQ,1024.8,1040.0,1040.0,1008.0,1013.0,1014.0,1017.9,4750237,4.83525030495e+14,,2492410.0,0.5247,434.56723
2010-03-05,RELIANCE,EQ,1014.0,1022.0,1026.0,1005.1,1010.05,1009.8,1012.5,2691454,2.72510110965e+14,,1087185.0,0.4039,432.767212
2010-03-08,RELIANCE,EQ,1009.8,1021.2,1027.0,1002.0,1005.0,1004.1,1012.96,2729580,2.76494623615e+14,,1368626.0,0.5014,430.324402
2010-03-09,RELIANCE,EQ,1004.1,1006.5,1011.8,988.05,988.25,990.35,996.13,3990953,3.97550402235e+14,,2371709.0,0.5943,424.431549
2010-03-10,RELIANCE,EQ,990.35,995.0,1018.9,989.3,1010.0,1008.75,1009.65,5670503,5.7252175571e+14,,2822837.0,0.4978,432.31723
